etti	sanığın	tutuklanma
sanığın	tutuklanma	talebini
tutuklanma	talebini	reddeden
talebini	reddeden	mahkeme
reddeden	mahkeme	çakıroğlunun
mahkeme	çakıroğlunun	akıl
çakıroğlunun	akıl	hastası
akıl	hastası	olup
hastası	olup	olmadığının
olup	olmadığının	tespit
olmadığının	tespit	edilmesi
tespit	edilmesi	için
edilmesi	için	haftayı
için	haftayı	geçmemek
haftayı	geçmemek	üzere
geçmemek	üzere	gözlem
üzere	gözlem	altına
gözlem	altına	alınmasına
altına	alınmasına	karar
alınmasına	karar	verdi
karar	verdi	duruşma
verdi	duruşma	ocak
duruşma	ocak	ye
ocak	ye	ertelendi
ye	ertelendi	etiketler
ertelendi	etiketler	anadolu
etiketler	anadolu	çekmeköy
anadolu	çekmeköy	yakalandığı
çekmeköy	yakalandığı	amansız
yakalandığı	amansız	hastalıktan
amansız	hastalıktan	kurtulamayarak
hastalıktan	kurtulamayarak	vefat
kurtulamayarak	vefat	eden
vefat	eden	türk
eden	türk	basının
türk	basının	önde
basının	önde	gelen
önde	gelen	isimlerinden
gelen	isimlerinden	ismet
isimlerinden	ismet	tongo
ismet	tongo	levent
tongo	levent	camiinde
levent	camiinde	kılınan
camiinde	kılınan	öğle
kılınan	öğle	namazının
öğle	namazının	ardından
namazının	ardından	zincirlikuyu
ardından	zincirlikuyu	mezarlığında
zincirlikuyu	mezarlığında	toprağıa
mezarlığında	toprağıa	verildi
toprağıa	verildi	tongonun
verildi	tongonun	cenazesine
tongonun	cenazesine	türkiye
cenazesine	türkiye	futbol
türkiye	futbol	direktörü
futbol	direktörü	fatih
direktörü	fatih	terim
fatih	terim	türkiye
terim	türkiye	futbol
türkiye	futbol	federasyonunun
futbol	federasyonunun	eski
federasyonunun	eski	başkanı
eski	başkanı	haluk
başkanı	haluk	ulusoy
haluk	ulusoy	teknik
ulusoy	teknik	direktör
teknik	direktör	mustafa
direktör	mustafa	denizli
mustafa	denizli	bülent
denizli	bülent	ünder
bülent	ünder	müfit
ünder	müfit	erkasap
müfit	erkasap	ailesi
erkasap	ailesi	yakınları
ailesi	yakınları	ve
yakınları	ve	çok
ve	çok	sayıda
çok	sayıda	spor
sayıda	spor	gazeteci
spor	gazeteci	dostu
gazeteci	dostu	katıldı
dostu	katıldı	ibrahim
katıldı	ibrahim	hacıosmanoğlu
ibrahim	hacıosmanoğlu	döneminde
hacıosmanoğlu	döneminde	yönetime
döneminde	yönetime	giren
yönetime	giren	çakıroğlunun
giren	çakıroğlunun	cenazesi
çakıroğlunun	cenazesi	bugün
cenazesi	bugün	ikindi
bugün	ikindi	vaktinde
ikindi	vaktinde	istanbul
vaktinde	istanbul	pendik
istanbul	pendik	merkez
pendik	merkez	camiinde
merkez	camiinde	kılınacak
camiinde	kılınacak	cenaze
kılınacak	cenaze	namazı
cenaze	namazı	sonrasında
namazı	sonrasında	son
sonrasında	son	yolculuğuna
son	yolculuğuna	uğurlanacak
yolculuğuna	uğurlanacak	bordomavili
uğurlanacak	bordomavili	kulübün
bordomavili	kulübün	mesajında
kulübün	mesajında	uzun
mesajında	uzun	süredir
uzun	süredir	amansız
süredir	amansız	hastalıkla
amansız	hastalıkla	mücadele
hastalıkla	mücadele	eden
mücadele	eden	çakıroğlu
eden	çakıroğlu	maalesef
çakıroğlu	maalesef	hayata
maalesef	hayata	tutunamadı
hayata	tutunamadı	merhuma
tutunamadı	merhuma	allahtan
merhuma	allahtan	rahmet
allahtan	rahmet	kederli
rahmet	kederli	ailesine
kederli	ailesine	sabır
ailesine	sabır	diliyoruz
sabır	diliyoruz	camiamızın
diliyoruz	camiamızın	başı
camiamızın	başı	sağ
başı	sağ	olsun
sağ	olsun	denildi
olsun	denildi	tsyd
denildi	tsyd	istanbul
tsyd	istanbul	şube
istanbul	şube	başkanı
şube	başkanı	ve
başkanı	ve	cumhuriyet
ve	cumhuriyet	gazetesi
cumhuriyet	gazetesi	spor
gazetesi	spor	müdürü
spor	müdürü	arif
müdürü	arif	kızılyalının
arif	kızılyalının	annesi
kızılyalının	annesi	nagihan
annesi	nagihan	kızılyalın
nagihan	kızılyalın	aramızdan
kızılyalın	aramızdan	ayrıldı
aramızdan	ayrıldı	nagihan
ayrıldı	nagihan	kızılyalın
nagihan	kızılyalın	son
kızılyalın	son	yolculuğuna
son	yolculuğuna	mart
yolculuğuna	mart	pazar
mart	pazar	günü
pazar	günü	öğle
günü	öğle	namazına
öğle	namazına	müteakip
namazına	müteakip	şişli
müteakip	şişli	camiinden
şişli	camiinden	uğurlanacak
camiinden	uğurlanacak	kızılyalının
uğurlanacak	kızılyalının	cenazesi
kızılyalının	cenazesi	bebekteki
cenazesi	bebekteki	aşiyan
bebekteki	aşiyan	mezarlığında
aşiyan	mezarlığında	toprağa
mezarlığında	toprağa	verilecek
toprağa	verilecek	cumhuriyetcomtr
verilecek	cumhuriyetcomtr	olarak
cumhuriyetcomtr	olarak	sayın
olarak	sayın	arif
sayın	arif	kızılyalın
arif	kızılyalın	ve
kızılyalın	ve	ailesine
ve	ailesine	başsağlığı
ailesine	başsağlığı	diliyoruz
başsağlığı	diliyoruz	sarıkırmızılı
diliyoruz	sarıkırmızılı	kulübün
sarıkırmızılı	kulübün	internet
kulübün	internet	sitesinde
internet	sitesinde	yer
sitesinde	yer	alan
yer	alan	mesajda
alan	mesajda	teknik
mesajda	teknik	direktörlük
teknik	direktörlük	yaptığı
direktörlük	yaptığı	yılları
yaptığı	yılları	arasında
yılları	arasında	galatasaraya
arasında	galatasaraya	unutulmaz
galatasaraya	unutulmaz	başarılar
unutulmaz	başarılar	yaşatan
başarılar	yaşatan	aynı
yaşatan	aynı	zamanda
aynı	zamanda	türk
zamanda	türk	futbolunun
türk	futbolunun	gelişimi
futbolunun	gelişimi	için
gelişimi	için	büyük
için	büyük	katkılar
büyük	katkılar	sağlayan
katkılar	sağlayan	jupp
sağlayan	jupp	derwalli
jupp	derwalli	aramızdan
derwalli	aramızdan	ayrılışının
aramızdan	ayrılışının	yılında
ayrılışının	yılında	özlem
yılında	özlem	ve
özlem	ve	saygıyla
ve	saygıyla	anıyoruz
saygıyla	anıyoruz	denildi
anıyoruz	denildi	derwall
denildi	derwall	futbol
derwall	futbol	sezonunda
futbol	sezonunda	yıl
sezonunda	yıl	aradan
yıl	aradan	sonra
aradan	sonra	ligde
sonra	ligde	şampiyonluğa
ligde	şampiyonluğa	ulaşan
şampiyonluğa	ulaşan	sarıkırmızılı
ulaşan	sarıkırmızılı	takımın
sarıkırmızılı	takımın	teknik
takımın	teknik	direktörüydü
teknik	direktörüydü	onur
direktörüydü	onur	aydının
onur	aydının	yağmurkıyamet
aydının	yağmurkıyamet	çiçeği
yağmurkıyamet	çiçeği	kitabından
çiçeği	kitabından	aynı
kitabından	aynı	isimle
aynı	isimle	beyazperdeye
isimle	beyazperdeye	aktarılan
beyazperdeye	aktarılan	ve
aktarılan	ve	amansız
ve	amansız	hastalığı
amansız	hastalığı	nedeniyle
hastalığı	nedeniyle	yaşındayken
nedeniyle	yaşındayken	aramızdan
yaşındayken	aramızdan	ayrılan
aramızdan	ayrılan	kazım
ayrılan	kazım	koyuncunun
kazım	koyuncunun	hayatının
koyuncunun	hayatının	bir
hayatının	bir	bölümünün
bir	bölümünün	anlatıldığı
bölümünün	anlatıldığı	yağmurkıyamet
anlatıldığı	yağmurkıyamet	çiçeği
yağmurkıyamet	çiçeği	filmi
çiçeği	filmi	sanatçının
filmi	sanatçının	üncü
sanatçının	üncü	doğum
üncü	doğum	günü
doğum	günü	olan
günü	olan	kasımda
olan	kasımda	vizyona
kasımda	vizyona	girecek
vizyona	girecek	filmin
girecek	filmin	oyuncu
filmin	oyuncu	kadrosunda
oyuncu	kadrosunda	engin
kadrosunda	engin	hepileri
engin	hepileri	altan
hepileri	altan	erkekli
altan	erkekli	devrim
erkekli	devrim	saltoğlu
devrim	saltoğlu	ve
saltoğlu	ve	sevtap
ve	sevtap	erkan
sevtap	erkan	köstengil
erkan	köstengil	yer
köstengil	yer	alıyor
yer	alıyor	birleşmiş
alıyor	birleşmiş	ressamlar
birleşmiş	ressamlar	ve
ressamlar	ve	heykeltraşlar
ve	heykeltraşlar	derneği
heykeltraşlar	derneği	yönetim
derneği	yönetim	kurulu
yönetim	kurulu	başkanı
kurulu	başkanı	önder
başkanı	önder	aydın
önder	aydın	yaptığı
aydın	yaptığı	yazılı
yaptığı	yazılı	açıklamada
yazılı	açıklamada	türkan
açıklamada	türkan	saylanı
türkan	saylanı	cumhuriyetin
saylanı	cumhuriyetin	yetiştirdiği
cumhuriyetin	yetiştirdiği	çok
yetiştirdiği	çok	değerli
çok	değerli	bilim
değerli	bilim	kadını
bilim	kadını	ödünsüz
kadını	ödünsüz	atatürkçü
ödünsüz	atatürkçü	ve
atatürkçü	ve	çağdaş
ve	çağdaş	yaşamın
çağdaş	yaşamın	yılmaz
yaşamın	yılmaz	savaşçısı
yılmaz	savaşçısı	olarak
savaşçısı	olarak	niteledi
olarak	niteledi	ve
niteledi	ve	büyük
ve	büyük	bir
büyük	bir	boşluk
bir	boşluk	bırakarak
boşluk	bırakarak	aramızdan
bırakarak	aramızdan	ayrılan
aramızdan	ayrılan	hocamızın
ayrılan	hocamızın	idealleri
hocamızın	idealleri	aynı
idealleri	aynı	kararlılıkla
aynı	kararlılıkla	yaşatılacaktır
kararlılıkla	yaşatılacaktır	aydınlıktan
yaşatılacaktır	aydınlıktan	uygarlıktan
aydınlıktan	uygarlıktan	ve
uygarlıktan	ve	insanlıktan
ve	insanlıktan	yana
insanlıktan	yana	olan
yana	olan	tüm
olan	tüm	halkımızın
tüm	halkımızın	başı
halkımızın	başı	sağolsunanısı
başı	sağolsunanısı	ve
sağolsunanısı	ve	mücadelesi
ve	mücadelesi	önünde
mücadelesi	önünde	saygıyla
önünde	saygıyla	eğiliyoruz
saygıyla	eğiliyoruz	dedi
eğiliyoruz	dedi	müdavimleri
dedi	müdavimleri	arasında
müdavimleri	arasında	gazeteci
arasında	gazeteci	edebiyatçı
gazeteci	edebiyatçı	oyuncu
edebiyatçı	oyuncu	ve
oyuncu	ve	her
ve	her	türden
her	türden	sanatçının
türden	sanatçının	yer
sanatçının	yer	aldığı
yer	aldığı	efsane
aldığı	efsane	meyhane
efsane	meyhane	yaza
meyhane	yaza	büyük
yaza	büyük	bir
büyük	bir	atılım
bir	atılım	yaparak
atılım	yaparak	giriyor
yaparak	giriyor	üç
giriyor	üç	yıl
üç	yıl	önce
yıl	önce	aramızdan
önce	aramızdan	ayrılan
aramızdan	ayrılan	yakup
ayrılan	yakup	arslandan
yakup	arslandan	görevi
arslandan	görevi	devralan
görevi	devralan	yıldıray
devralan	yıldıray	ve
yıldıray	ve	ufuk
ve	ufuk	arslanın
ufuk	arslanın	mystaff
arslanın	mystaff	insan
mystaff	insan	kaynakları
insan	kaynakları	işbirliğiyle
kaynakları	işbirliğiyle	hayata
işbirliğiyle	hayata	geçirdiği
hayata	geçirdiği	yakup
geçirdiği	yakup	bosphorus
yakup	bosphorus	klasikleşmiş
bosphorus	klasikleşmiş	lezzetlerini
klasikleşmiş	lezzetlerini	yenilenen
lezzetlerini	yenilenen	mutfaklarıyla
yenilenen	mutfaklarıyla	bir
mutfaklarıyla	bir	üst
bir	üst	seviyeye
üst	seviyeye	taşıyarak
seviyeye	taşıyarak	misafirlerine
taşıyarak	misafirlerine	hizmet
misafirlerine	hizmet	vermeyi
hizmet	vermeyi	amaçlıyor
vermeyi	amaçlıyor	etiketler
amaçlıyor	etiketler	beyoğlu
etiketler	beyoğlu	istanbul
beyoğlu	istanbul	belek
istanbul	belek	kampındaki
belek	kampındaki	basın
kampındaki	basın	toplantısında
basın	toplantısında	gelenler
toplantısında	gelenler	olacağı
gelenler	olacağı	gibi
olacağı	gibi	aramızdan
gibi	aramızdan	ayrılanlar
aramızdan	ayrılanlar	da
ayrılanlar	da	olacak
da	olacak	diyen
olacak	diyen	denizli
diyen	denizli	kafasında
denizli	kafasında	ismin
kafasında	ismin	biletini
ismin	biletini	kesti
biletini	kesti	sivasspor
kesti	sivasspor	maçında
sivasspor	maçında	kişilik
maçında	kişilik	kadroya
kişilik	kadroya	alınmayan
kadroya	alınmayan	jem
alınmayan	jem	karacan
jem	karacan	ve
karacan	ve	jose
ve	jose	rodriguez
jose	rodriguez	kurt
rodriguez	kurt	hocanın
kurt	hocanın	ikinci
hocanın	ikinci	yarı
ikinci	yarı	planlarında
yarı	planlarında	yok
planlarında	yok	sabriden
yok	sabriden	memnun
sabriden	memnun	olan
memnun	olan	denizli
olan	denizli	linnes
denizli	linnes	transferi
linnes	transferi	sonrası
transferi	sonrası	sağ
sonrası	sağ	bekte
sağ	bekte	alternatif
bekte	alternatif	konumuna
alternatif	konumuna	düşen
konumuna	düşen	tarık
düşen	tarık	ve
tarık	ve	korayı
ve	korayı	da
korayı	da	yollayacak
da	yollayacak	sabah
yollayacak	sabah	sürpriz
sabah	sürpriz	gelişme
sürpriz	gelişme	salih
gelişme	salih	podolski
salih	podolski	gideceği
podolski	gideceği	takımı
gideceği	takımı	açıkladı
takımı	açıkladı	porto
açıkladı	porto	teknik
porto	teknik	direktörü
teknik	direktörü	vitor
direktörü	vitor	manuel
vitor	manuel	de
manuel	de	oliveira
de	oliveira	portekiz
oliveira	portekiz	basınına
portekiz	basınına	quaresma
basınına	quaresma	hakkında
quaresma	hakkında	yorum
hakkında	yorum	yapmaktan
yorum	yapmaktan	kaçındı
yapmaktan	kaçındı	teknik
kaçındı	teknik	direktör
teknik	direktör	oliveira
direktör	oliveira	son
oliveira	son	günlerde
son	günlerde	quaresmanın
günlerde	quaresmanın	adının
quaresmanın	adının	porto
adının	porto	ile
porto	ile	anıldığı
ile	anıldığı	hatırlatılması
anıldığı	hatırlatılması	üzerine
hatırlatılması	üzerine	şunları
üzerine	şunları	söyledi
şunları	söyledi	şu
söyledi	şu	anda
şu	anda	iyi
anda	iyi	futbolcuların
iyi	futbolcuların	oluşturduğu
futbolcuların	oluşturduğu	başarılı
oluşturduğu	başarılı	bir
başarılı	bir	takımım
bir	takımım	var
takımım	var	umarım
var	umarım	devre
umarım	devre	arası
devre	arası	transfer
arası	transfer	döneminde
transfer	döneminde	aramızdan
döneminde	aramızdan	ayrılan
aramızdan	ayrılan	olmaz
ayrılan	olmaz	quaresma
olmaz	quaresma	konusunda
quaresma	konusunda	ise
konusunda	ise	bir
ise	bir	yorum
bir	yorum	yapmak
yorum	yapmak	istemiyorum
yapmak	istemiyorum	çünkü
istemiyorum	çünkü	quaresma
çünkü	quaresma	bizim
quaresma	bizim	futbolcumuz
bizim	futbolcumuz	değil
futbolcumuz	değil	ve
değil	ve	onun
ve	onun	hakkında
onun	hakkında	yorum
hakkında	yorum	yapmam
yorum	yapmam	saygısızlık
yapmam	saygısızlık	olur
saygısızlık	olur	şenol
olur	şenol	güneşin
şenol	güneşin	yönetimin
güneşin	yönetimin	tören
yönetimin	tören	düzenleme
tören	düzenleme	isteğini
düzenleme	isteğini	geri
isteğini	geri	çevirmesiyle
geri	çevirmesiyle	yayınlanan
çevirmesiyle	yayınlanan	emeğinize
yayınlanan	emeğinize	teşekkürler
emeğinize	teşekkürler	mesajında
teşekkürler	mesajında	şu
mesajında	şu	ifadelere
şu	ifadelere	yer
ifadelere	yer	verildi
yer	verildi	kulübümüze
verildi	kulübümüze	büyük
kulübümüze	büyük	emekleri
büyük	emekleri	geçen
emekleri	geçen	güneş
geçen	güneş	ve
güneş	ve	ekibinin
ve	ekibinin	aramızdan
ekibinin	aramızdan	ayrılması
aramızdan	ayrılması	herkesi
ayrılması	herkesi	olduğu
herkesi	olduğu	gibi
olduğu	gibi	bizleri
gibi	bizleri	de
bizleri	de	fazlasıyla
de	fazlasıyla	üzmüştür
fazlasıyla	üzmüştür	güneş
üzmüştür	güneş	ve
güneş	ve	çalışma
ve	çalışma	arkadaşlarına
çalışma	arkadaşlarına	bundan
arkadaşlarına	bundan	sonraki
bundan	sonraki	yaşamlarında
sonraki	yaşamlarında	sağlık
yaşamlarında	sağlık	başarı
sağlık	başarı	ve
başarı	ve	mutluluklar
ve	mutluluklar	diliyoruz
mutluluklar	diliyoruz	geride
diliyoruz	geride	bırakmaya
geride	bırakmaya	hazırlandığımız
bırakmaya	hazırlandığımız	yılı
hazırlandığımız	yılı	genelinde
yılı	genelinde	sanat
genelinde	sanat	spor
sanat	spor	siyaset
spor	siyaset	medya
siyaset	medya	ve
medya	ve	bilim
ve	bilim	dünyasından
bilim	dünyasından	pek
dünyasından	pek	çok
pek	çok	ünlü
çok	ünlü	isim
ünlü	isim	aramızdan
isim	aramızdan	ayrıldı
aramızdan	ayrıldı	arabesk
ayrıldı	arabesk	müziğin
arabesk	müziğin	babası
müziğin	babası	ünlü
babası	ünlü	sanatçı
ünlü	sanatçı	müslüm
sanatçı	müslüm	gürses
müslüm	gürses	usta
gürses	usta	gazeteci
usta	gazeteci	mehmet
gazeteci	mehmet	ali
mehmet	ali	birand
ali	birand	ve
birand	ve	daha
ve	daha	çok
daha	çok	sayıda
çok	sayıda	sevilen
sayıda	sevilen	isim
sevilen	isim	kültür
isim	kültür	sanat
kültür	sanat	servisi
sanat	servisi	yaşında
servisi	yaşında	solunum
yaşında	solunum	yetmezliği
solunum	yetmezliği	nedeniyle
yetmezliği	nedeniyle	aramızdan
nedeniyle	aramızdan	ayrılmasıyla
aramızdan	ayrılmasıyla	sevenlerini
ayrılmasıyla	sevenlerini	ve
sevenlerini	ve	okuyucularını
ve	okuyucularını	yasa
okuyucularını	yasa	boğan
yasa	boğan	koraman
boğan	koraman	uzun
koraman	uzun	yıllar
uzun	yıllar	milliyet
yıllar	milliyet	gazetesinde
milliyet	gazetesinde	çizdi
gazetesinde	çizdi	koraman
çizdi	koraman	ağır
koraman	ağır	konuları
ağır	konuları	ele
konuları	ele	aldığı
ele	aldığı	siyasi
aldığı	siyasi	karikatürlerinde
siyasi	karikatürlerinde	umutsuzluk
karikatürlerinde	umutsuzluk	değil
umutsuzluk	değil	neşeye
değil	neşeye	yer
neşeye	yer	vermesi
yer	vermesi	ve
vermesi	ve	teknik
ve	teknik	hakimiyetiyle
teknik	hakimiyetiyle	kuşağının
hakimiyetiyle	kuşağının	önde
kuşağının	önde	gelen
önde	gelen	çizerleri
gelen	çizerleri	arasında
çizerleri	arasında	özel
arasında	özel	bir
özel	bir	yere
bir	yere	sahipti
yere	sahipti	etiketler
sahipti	etiketler	bugün
etiketler	bugün	bodrum
bugün	bodrum	kültür
bodrum	kültür	sanat
kültür	sanat	servisi
sanat	servisi	ulusoy
servisi	ulusoy	yazarın
ulusoy	yazarın	basınköydeki
yazarın	basınköydeki	evinin
basınköydeki	evinin	müzeye
evinin	müzeye	dönüştürülmesi
müzeye	dönüştürülmesi	halinde
dönüştürülmesi	halinde	destek
halinde	destek	vermeye
destek	vermeye	hazır
vermeye	hazır	olduklarını
hazır	olduklarını	belirtti
olduklarını	belirtti	ulusoy
belirtti	ulusoy	yaptığı
ulusoy	yaptığı	açıklamada
yaptığı	açıklamada	yaşar
açıklamada	yaşar	kemal
yaşar	kemal	aramızdan
kemal	aramızdan	ayrılalı
aramızdan	ayrılalı	bir
ayrılalı	bir	yıl
bir	yıl	oldu
yıl	oldu	bir
oldu	bir	yıl
bir	yıl	boyunca
yıl	boyunca	uzun
boyunca	uzun	yıllarını
uzun	yıllarını	geçirdiği
yıllarını	geçirdiği	basınköydeki
geçirdiği	basınköydeki	evinin
basınköydeki	evinin	müzeye
evinin	müzeye	dönüştürülmesi
müzeye	dönüştürülmesi	hepimizin
dönüştürülmesi	hepimizin	görevi
hepimizin	görevi	olmalıdır
görevi	olmalıdır	diye
olmalıdır	diye	belirtti
diye	belirtti	etiketler
belirtti	etiketler	türsab
etiketler	türsab	başaran
türsab	başaran	ulusoy
başaran	ulusoy	aybaşında
ulusoy	aybaşında	ali
aybaşında	ali	sirmen
ali	sirmen	cumhuriyette
sirmen	cumhuriyette	tatil
cumhuriyette	tatil	izninin
tatil	izninin	okurdan
izninin	okurdan	istendiğini
okurdan	istendiğini	yazmıştı
istendiğini	yazmıştı	bu
yazmıştı	bu	geleneğe
bu	geleneğe	saygı
geleneğe	saygı	duymakla
saygı	duymakla	birlikte
duymakla	birlikte	ben
birlikte	ben	yazmamak
ben	yazmamak	için
yazmamak	için	değil
için	değil	yazmak
değil	yazmak	için
yazmak	için	izin
için	izin	istiyorum
izin	istiyorum	saçma
istiyorum	saçma	gibi
saçma	gibi	görünüyor
gibi	görünüyor	ama
görünüyor	ama	bir
ama	bir	süredir
bir	süredir	üzerinde
süredir	üzerinde	çalıştığım
üzerinde	çalıştığım	yazı
çalıştığım	yazı	dizisini
yazı	dizisini	bayram
dizisini	bayram	sonrasına
bayram	sonrasına	yetiştirmem
sonrasına	yetiştirmem	gerekiyor
yetiştirmem	gerekiyor	aslında
gerekiyor	aslında	bayramda
aslında	bayramda	çalıştığımı
bayramda	çalıştığımı	bayram
çalıştığımı	bayram	sonrası
bayram	sonrası	kanıtlamak
sonrası	kanıtlamak	kaydıyla
kanıtlamak	kaydıyla	ve
kaydıyla	ve	dinlenme
ve	dinlenme	için
dinlenme	için	izin
için	izin	hakkımı
izin	hakkımı	seçim
hakkımı	seçim	sonrası
seçim	sonrası	kullanmak
sonrası	kullanmak	şartıyla
kullanmak	şartıyla	şimdilik
şartıyla	şimdilik	bir
şimdilik	bir	hafta
bir	hafta	izin
hafta	izin	rica
izin	rica	ediyorum
rica	ediyorum	hepinize
ediyorum	hepinize	şimdiden
hepinize	şimdiden	iyi
şimdiden	iyi	bayramlar
iyi	bayramlar	uykusuzluğu
bayramlar	uykusuzluğu	durdurur
uykusuzluğu	durdurur	soğuk
durdurur	soğuk	algınlığına
soğuk	algınlığına	iyi
algınlığına	iyi	gelir
iyi	gelir	aybaşı
gelir	aybaşı	ağrılarını
aybaşı	ağrılarını	geçirir
ağrılarını	geçirir	mide
geçirir	mide	bulantısını
mide	bulantısını	durdurur
bulantısını	durdurur	midedeki
durdurur	midedeki	aşırı
midedeki	aşırı	gazı
aşırı	gazı	alır
gazı	alır	sağlık
alır	sağlık	için
sağlık	için	yaprağı
için	yaprağı	kaynatılarak
yaprağı	kaynatılarak	demlenir
kaynatılarak	demlenir	ve
demlenir	ve	çayı
ve	çayı	yapılır
çayı	yapılır	kadınların
yapılır	kadınların	aybaşı
kadınların	aybaşı	dönemlerini
aybaşı	dönemlerini	düzenler
dönemlerini	düzenler	adet
düzenler	adet	sancılarını
adet	sancılarını	geçirir
sancılarını	geçirir	vajinal
geçirir	vajinal	bir
vajinal	bir	çok
bir	çok	hastalığı
çok	hastalığı	iyileştirir
hastalığı	iyileştirir	ve
iyileştirir	ve	menopoz
ve	menopoz	dönemini
menopoz	dönemini	kolaylaştırır
dönemini	kolaylaştırır	rahim
kolaylaştırır	rahim	kanseri
rahim	kanseri	rahim
kanseri	rahim	içindeki
rahim	içindeki	her
içindeki	her	ay
her	ay	aybaşı
ay	aybaşı	kanaması
aybaşı	kanaması	ile
kanaması	ile	dökülen
ile	dökülen	kısımdan
dökülen	kısımdan	kaynaklanan
kısımdan	kaynaklanan	bir
kaynaklanan	bir	kanserdir
bir	kanserdir	aybaşı
kanserdir	aybaşı	kanamalarının
aybaşı	kanamalarının	düzenli
kanamalarının	düzenli	olmasını
düzenli	olmasını	sağlar
olmasını	sağlar	ancak
sağlar	ancak	aybaşı
ancak	aybaşı	kanamaları
aybaşı	kanamaları	ve
kanamaları	ve	hamilelik
ve	hamilelik	döneminde
hamilelik	döneminde	kullanılmaz
döneminde	kullanılmaz	aybaşı
kullanılmaz	aybaşı	kanamalarının
aybaşı	kanamalarının	kolay
kanamalarının	kolay	olmasını
kolay	olmasını	sağlar
olmasını	sağlar	aybaşı
sağlar	aybaşı	halinin
aybaşı	halinin	ağrısız
halinin	ağrısız	ve
ağrısız	ve	muntazam
ve	muntazam	olmasını
muntazam	olmasını	sağlar
olmasını	sağlar	aybaşı
sağlar	aybaşı	sancılarını
aybaşı	sancılarını	keser
sancılarını	keser	fazla
keser	fazla	aybaşı
fazla	aybaşı	kanamasını
aybaşı	kanamasını	önler
kanamasını	önler	kadınlar
önler	kadınlar	üremeleri
kadınlar	üremeleri	devam
üremeleri	devam	etmese
devam	etmese	de
etmese	de	devam
de	devam	eden
devam	eden	aybaşı
