PET,category,orig_text
aramızdan ayrıldı,death,"Belek kampındaki basın toplantısında ""Gelenler olacağı gibi aramızdan ayrılanlar da olacak"" diyen Denizli kafasında 3-4 ismin biletini kesti. Sivasspor maçında 18 kişilik kadroya alınmayan Jem Karacan ve Jose Rodriguez kurt hocanın ikinci yarı planlarında yok. Sabri'den memnun olan Denizli, Linnes transferi sonrası sağ bekte 3. alternatif konumuna düşen Tarık ve Koray'ı da yollayacak. (Sabah) Sürpriz gelişme! Salih... Podolski gideceği takımı açıkladı"
aramızdan ayrıldı,death,"Porto teknik direktörü Vitor Manuel de Oliveira, Portekiz basınına Quaresma hakkında yorum yapmaktan kaçındı. Teknik direktör Oliveira, son günlerde Quaresma'nın adının Porto ile anıldığı hatırlatılması üzerine şunları söyledi: ""Şu anda iyi futbolcuların oluşturduğu başarılı bir takımım var. Umarım devre arası transfer döneminde aramızdan ayrılan olmaz. Quaresma konusunda ise bir yorum yapmak istemiyorum. Çünkü Quaresma bizim futbolcumuz değil ve O'nun hakkında yorum yapmam saygısızlık olur."""
aramızdan ayrıldı,death,"Şenol Güneş’in yönetimin tören düzenleme isteğini geri çevirmesiyle yayınlanan ‘Emeğinize teşekkürler’ mesajında şu ifadelere yer verildi: ""KULÜBÜMÜZE büyük emekleri geçen Güneş ve ekibinin aramızdan ayrılması herkesi olduğu gibi bizleri de fazlasıyla üzmüştür. Güneş ve çalışma arkadaşlarına bundan sonraki yaşamlarında sağlık, başarı ve mutluluklar diliyoruz."""
aramızdan ayrıldı,death,"Geride bırakmaya hazırlandığımız 2013 yılı genelinde sanat , spor , siyaset, medya ve bilim dünyasından pek çok ünlü isim aramızdan ayrıldı. Arabesk müziğin 'Baba'sı ünlü sanatçı Müslüm Gürses, Usta gazeteci Mehmet Ali Birand ve daha çok sayıda sevilen isim..."
aramızdan ayrıldı,death,"KÜLTÜR SANAT SERVİSİ 87 yaşında solunum yetmezliği nedeniyle aramızdan ayrılmasıyla sevenlerini ve okuyucularını yasa boğan Koraman, uzun yıllar Milliyet gazetesinde çizdi. Koraman, ağır konuları ele aldığı siyasi karikatürlerinde umutsuzluk değil neşeye yer vermesi ve teknik hakimiyetiyle kuşağının önde gelen çizerleri arasında özel bir yere sahipti. Etiketler: bugün , Bodrum"
aramızdan ayrıldı,death,"KÜLTÜR SANAT SERVİSİ Ulusoy, yazarın Basınköy’deki evinin müzeye dönüştürülmesi halinde destek vermeye hazır olduklarını belirtti. Ulusoy yaptığı açıklamada ""Yaşar Kemal, aramızdan ayrılalı bir yıl oldu. Bir yıl boyunca uzun yıllarını geçirdiği Basınköy’deki evinin müzeye dönüştürülmesi hepimizin görevi olmalıdır"" diye belirtti. Etiketler: TÜRSAB , Başaran Ulusoy"
aybaşı,bodily functions,"Aybaşında Ali Sirmen, Cumhuriyet’te tatil izninin okurdan istendiğini yazmıştı. Bu geleneğe saygı duymakla birlikte, ben yazmamak için değil, yazmak için izin istiyorum. Saçma gibi görünüyor, ama bir süredir üzerinde çalıştığım yazı dizisini bayram sonrasına yetiştirmem gerekiyor. Aslında bayramda çalıştığımı bayram sonrası kanıtlamak kaydıyla ve dinlenme için izin hakkımı seçim sonrası kullanmak şartıyla şimdilik bir hafta izin rica ediyorum. Hepinize şimdiden iyi bayramlar."
aybaşı,bodily functions,-  Uykusuzluğu durdurur - Soğuk algınlığına iyi gelir - Aybaşı ağrılarını geçirir -  Mide bulantısını durdurur - Midedeki aşırı gazı alır Sağlık için : Yaprağı  kaynatılarak demlenir ve çayı yapılır .
aybaşı,bodily functions,"""Kadınların aybaşı dönemlerini düzenler , adet sancılarını geçirir , vajinal bir  çok hastalığı iyileştirir ve menopoz dönemini kolaylaştırır ."""
aybaşı,bodily functions,"""Rahim kanseri , rahim içindeki  her ay aybaşı kanaması ile dökülen kısımdan kaynaklanan bir kanserdir ."""
aybaşı,bodily functions,Aybaşı kanamalarının düzenli olmasını sağlar  .
aybaşı,bodily functions,"""Ancak , aybaşı kanamaları ve hamilelik döneminde kullanılmaz ."""
aybaşı,bodily functions,Aybaşı kanamalarının kolay olmasını sağlar .
aybaşı,bodily functions,Aybaşı halinin ağrısız ve muntazam olmasını sağlar .
aybaşı,bodily functions,Aybaşı sancılarını keser .
aybaşı,bodily functions,Fazla aybaşı kanamasını önler .
aybaşı,bodily functions,"""Kadınlar üremeleri devam etmese de devam eden  aybaşı kanamalarından , sıcak basmanın olmamasından memnundular ."""
aybaşı,bodily functions,"""Örneğin  , aybaşında olan kadınların terini koklayan hemcinslerinin regl günlerinin değişikliğe uğradığı saptandı  ."""
aybaşı,bodily functions,Aybaşında maaşımı aldığım zaman  ev gereksinimlerimiz için gerekli parayı eşime verirdim .
aybaşı,bodily functions,Aybaşından aybaşına bir şişe rakı alıyorum .
aybaşı,bodily functions,"""Yasanın Gelir  Vergisi Kanununda değişiklik yapan maddeleri , yayımını izleyen aybaşında , Kamu İhale  Kanunu'na ilişkin düzenlemeler 1 Ocak 2003 tarihinde yürürlüğe girecek ."""
aybaşı,bodily functions,Aybaşı geldiğinde maaşların nasıl ödendiğini göreceksiniz sözleriyle  yanıtladı .
aybaşı,bodily functions,Bu durumun ortaya çıktığı tarihi takip eden aybaşından  itibaren ödemeye son verilir .
aybaşı,bodily functions,"Merkez Hakem Kurulu eski başkanları kulüplerde profesyonel yönetici olmaya devam ediyor. Levent Bıçakcı federasyonunun MHK başkanı Ufuk Özerten'in Gençlerbirliği'nde teknik işlerden sorumlu asbaşkanlığına getirilmesinden sonra, Haluk Ulusoy federasyonunun son döneminde başkanlığını yapan Bülent Yavuz'un da Ankaragücü genel müdürlüğüne atanacağı bildirildi. Yavuz'un aybaşından itibaren yeni görevine başlayacağı ifade edildi.0"
aybaşı,bodily functions,"""Bronşit selülit  , saç , aybaşı , güneş yanması , yüksek tansiyon , ödem  , romatizma gibi rahatsızlıklara iyi gelmektedir ."""
aybaşı,bodily functions,"""Istakoz işine  giren sosyetenin kamberi Sema Çelebi , aybaşında iş görüşmeleri için Amerika'ya gitmiş  ."""
aybaşı,bodily functions,"""Vergi Barışı Kanunu'ndan yararlanmak isteyenlerin aybaşında başlayan başvuru ve vergi borcunun  ilk taksidini yatırma süresi , 31 Mart Pazartesi günü mesai saati bitiminde  sona erecek ."""
aybaşı,bodily functions,"""Bu  yüzdendir ki , ilimsiz kerâmet açığa çıkarmak bütün evliyaullah nazarında aybaşı gören  kadının kanı ; olarak nitelendirilmiştir !"""
aybaşı,bodily functions,"""Gerçekten  de kadınların ritmik , aybaşı kanamaları olarak isimlendirdikleri vajinadan gelen kanamalar ,  bebeği içinde taşıyacak rahim iç zarının , hormonlar etkisiyle her ay kalınlaşması  , ancak gebelik olmadığında artık beslenmesine gerek kalmadığında dışarı atılmasıdır ."""
aybaşı,bodily functions,Kabakulak  otu adı altında idrar artırıcı ve aybaşı kanamalarını düzenlemek üzere önerilen bitkinin  Latince karşılığını gördüğümde endişelendim .
aybaşı,bodily functions,"""O aybaşı aylığından pudra aldı kendine Bir çift uzun çorap ,  topuklu ayakkabı Pudrayı sürüp sürüp aynada baktı yüzüne Ve o hafta sonu  eve biraz daha geç geldi Bir emeklinin oğluyum adım Niyazi Jön Niyazi  de derler dostlar sağolsun Lise sondan terk okul durumu Fabrikada muhasebeye takılıyorum  Peder sağolsun levazımcıydı Çok dostları vardı o zamanlardan Eskiden yağ tüccarıymış şimdiki  patron Babamın dostuymuş o zamanlardan ."""
aybaşı,bodily functions,"""Bu personelin emekli keseneğine esas aylığı , iştirakçi olduğu  tarihi izleyen aybaşı olan 01.04.1987 tarihi itibariyle 18 yaşının dolumundan sonra 25.06.1978  - 02.02.1980 tarihleri arasındaki sigortalı olarak geçen 1 yıl 7 ay 7  gün , 03.03.1987 - 01.04.1987 tarihleri arasında aday memur olarak geçen 28  gün olmak üzere , toplam 1 yıl 8 ay 5 günlük hizmeti  değerlendirilmeye tabi tutularak ortaokul mezunlarının göreve giriş derecesi olan 14 / 2’den  14 / 3’e yükseltilecek bu derece ve kademede de 8 ay 5  gün kıdemli sayılacaktır ."""
aybaşı,bodily functions,"""Ki  kendisi dünyaca ünlü sosyolog Niyazi Berkes’in küçük kardeşidir… Eğer aybaşı ise oralarda  çarşıdaki binalarının kirasını toplamaya gelmiş Mehmet Hacımolla’ya da rastlayacaksınız , yanınmda yüzünden  nur ve güven akan eniştesi Sami Hoca Efendi ile birşeyler konuşarak ,  yokuş aşağı eve gitmektedirler ."""
aybaşı,bodily functions,"""Aynı evi  paylaşan bu iki kafadar , aybaşı münasebetiyle hipermarketlerden birine gidip , 20  paket makarna , 5 kilo sosis , 2 koli Tekel Birası ve  32'lik tuvalet kağıdı almışlar - Allah sizi inandırsın , hiç yalanım yok  - ve hipermarketi herkesin dehşet dolu bakışları içinde terketmişler ."""
aybaşı,bodily functions,"""SSK sağlık kurumlarında spiral takma , aybaşı düzenleme ve sterilizasyon ameliyatı  , istek üzerine yapılmalıdır ."""
aybaşı,bodily functions,"""Yukarıdaki süreler ,  ihya edilen süreye ilişkin tutar dahil her türlü borçların ödendiği tarihi takip  eden aybaşı itibarıyla bu Kanuna göre aylık bağlanmasında dikkate alınır ."""
aybaşı,bodily functions,"""Aile  yüzdelerinde baz , anket uygulanan tüm kadınlardır ( kısır , aybaşından kesilmiş  ve gebeler dahil ) ."""
aybaşı,bodily functions,"""Kadın sadece üre ve aybaşı kanamasına yetecek kadar ,  kibrit çöpü çapında bir açıklık bırakmıştı ."""
aybaşı,bodily functions,"""Arketipsel olarak Kırmızı Ayakkabılar'ın aybaşı kanamalarının başlaması ve anne tarafından daha  az korunan bir hayata geçilmesi , genç bir kadına kendisinden büyük kadınlar  tarafından dış dünyanın farkında olma ve ona tepki gösterme yollarının öğretilmesiyle ilgili  çok eski bir öykü ya da mitin üst üste binen parçalarından biri  olması mümkündür ."""
aybaşı,bodily functions,"""Estes'e göre , en önemli eşik törenlerinden biri ,  ilk aybaşı kanamasıyla ilgilidir ."""
aybaşı,bodily functions,"""Tören , bütün  evreleriyle kırmızı kan ile ilgilidir : Aybaşı kanamasının rahimden gelen kanı ,  hep ayaklara doğru akan kanlardır ; ve özgün kırmızı ayakkabılarda pek çok  mânâ gizlidir ."""
aybaşı,bodily functions,"""Nitekim kadınlar , aybaşı kanamaları sırasında , özbilgiye her zamankinden daha  yakındır ; bilinçdışı ile bilinçli akıl arasındaki zar önemli ölçüde incelir ."""
aybaşı,bodily functions,"""Ay'ın evreleri ile cinayetler , kazalar  , dünyamızda oluşan kasırgaların dağılımı , magnetik alanlarda bozulma , kadınların aybaşları  ve sara nöbetleri arasındaki ilişkileri yakından takip ediyorlar , devamlı istatistiki bilgi  topluyorlar ."""
aybaşı,bodily functions,Yeni  kadrolara atanma tarihi meclisin karar tarihini takip eden aybaşını geçemez .
aybaşı,bodily functions,"""Bu Kanun Hükmünde Kararnamenin yürürlüğe girdiği tarihi izleyen aybaşından itibaren , 2547  sayılı Kanun ile , bu Kanunun ek ve tadilleri uyarınca 1987 yılı  Aralık ayında ad çekme işlemine tabi olanlar ile herhangi bir nedenle kurul  üyeliğinden ayrılanların yerine , bu kanun Hükmünde Kararnameye göre seçimler ve atamalar  yapılır ."""
aybaşı,bodily functions,"""Aybaşı , yılbaşı itibariyle  yanı başımızdaki Romanya ile Bulgaristan'ın AB üyesi olmaları , hem oralarda ,  hem buralarda bir rezalettir ."""
aybaşı,bodily functions,"""Gelecekte dünya çapında ünlü bir modacı olma hayali kuran ,  ninesinin hediyesi dikiş makinesiyle kendi tasarımlarını yaratan , yirmi dört yaşına kadar  aybaşı olamama korkusundan sıyrılamayan , yaratıcı ve heyecanlı Lucy ... Lucy'nin HCD'si  Jules ; yani Hep Canciğer Dostu Julietta Garcia Perez Benedicionatorio !"""
aybaşı,bodily functions,"""Halkın Aybaşı Polisi diye  alay ettiği hükümet görevlileri , karınlarında şişme gördükleri kadınlara iş yerlerinde gebelik  testi yapıyordu ."""
aybaşı,bodily functions,Bu parayla aybaşına kadar bir ev nasıl geçindirilir  ?
aybaşı,bodily functions,"""Bize , babadan kalan bir laf vardır : Dur ,  hele aybaşı , gelsin de ... İster devlet memuru olsun , ister  özel sektörde çalışsın herkes aybaşını dört gözle bekler ."""
aybaşı,bodily functions,"""Asgari ücretle işçi çalıştıran her işveren , her  aybaşı işçisine 80 milyon lira , devlete 86 milyon lira ödeyecek ."""
aybaşı,bodily functions,Faizlerin bugün aybaşı olması  nedeniyle eski seyrine dönmesi bekleniyor .
aybaşı,bodily functions,Her aybaşı holding gibi zarf  dağılıyor .
aybaşı,bodily functions,"""Aybaşı , pazara denk geldi ."""
aybaşı,bodily functions,"""12'nci basamaktan  itibaren sigortalıların basamakları ; talepte bulunmaları ve talep tarihinden önceki ayın sonu  itibariyle prim ve gecikme zammı borcu bulunmaması şartıyla , talep tarihini takip  eden aybaşı itibariyle bir üst basamağa yükseltilir ."""
aybaşı,bodily functions,Yeni biletlerin ilk çekiliş tarihi de 9 Mayıs olarak belirlendi  ve bu biletlerin aybaşında satışa sunulacağını ifade edildi .
beklemek,bodily functions,"People dergisi, 29 yaşındaki kadın oyuncunun ""Black Swan"" filminin çekimleri sırasında tanıştığı Millepied ile olan ilişkisinden ilk çocuğunu beklediğini belirtti. Fransa'nın Bordeaux kentinde doğan Millepied, New York Balesi'nde başdansçı ve kareograflık yapıyor. Portman, ""Black Swan"" da, teknik mükemmellik takıntısı vücudu ve zihninde ağır bedellere yol açan New Yorklu bir balerini canlandırıyor."
beklemek,bodily functions,"Amerikalı aktör Mel Gibson ve yeni kız arkadaşı Rus müzisyen Oksana Grigorieva bebek bekliyor. Oscar ödüllü 53 yaşındaki Gibson'un eşi Robyn, 6 hafta önce boşanma davası açmıştı. Robyn, 13 Nisan'da verdiği dava dilekçesinde 28 yıllık eşinden geçimsizlik nedeniyle boşanmak istediğini belirtmişti. 3 yıldır ayrı yaşayan Mel Gibson ve Robyn'in 7 çocuğu bulunuyor."
beklemek,bodily functions,"ABD'de yayımlanan Star dergisi, bebek beklediği bilinen çiftin mutluluğunun bugünlerde ikiye katlandığını yazdı. 47 yaşındaki Preston ve 56 yaşındaki Travolta'nın 10 yaşında Ella adlı bir kızları var. Travolta'nın uzun süredir hasta olan oğlu Jett, geçen yıl Bahamalar'da tatildeyken yaşamını yitirmişti."
beklemek,bodily functions,"Rockçı ünlüler kulübünün üyesi Stewart ile eşi Penny Lancaster (39), ikinci çocuklarını bekledikleri açıklayarak, mutlu haberi haziran ayında, evliliklerinin üçüncü yıldönümünde öğrendiklerini belirttiler. On yıldır beraber olan Stewart ile Lancaster'in 4 yaşında Alastir adlı bir oğulları daha var. Stewart'ın önceki ilişkilerinden 5 çocuğu var."
beklemek,bodily functions,"Sözcüsü Chris Miller, 38 yaşındaki Barrymore ve eşi Will Kopelman'ın ikinci çocuklarını beklediklerini söyledi. Barrymore ve Kopelman'ın 13 aylık Olive adında bir kızları var. Çift, 2012 yılı haziran ayında evlenmişti. Chanel'in eski üst yöneticisi Arie Kopelman'ın oğlu olan Will Kopelman, sanat danışmanlığı yapıyor."
beklemek,bodily functions,"Güzel oyuncu Drew Barrymore, ikinci kez anne olmaya hazırlanıyor. Oyuncunun sözcüsü Chris Miller, 38 yaşındaki Barrymore ve eşi Will Kopelman'ın ikinci çocuklarını beklediklerini belirtti. Barrymore ve Kopelman'ın 13 aylık Olive adında bir kızları var. Çift, 2012 yılı Haziran ayında evlenmişti. Chanel'in eski üst yöneticisi Arie Kopelman'ın oğlu olan Will Kopelman, sanat danışmanlığı yapıyor."
beklemek,bodily functions,Prens George'un Yeni Zelanda'da  yarattığı sempatinin etkileri sürerken US Weekly yakın bir zamanda George'un abi olacağını iddia etti. Habere göre Kate Middleton'ın hamile olmadığı ancak ikinci çocuk için plan yapıldığı belirtildi. Kraliyet çiftine yakın kaynaklara dayandırılan haberde çiftin büyük bir aile istediği belirtildi. Prens William 11 Nisan'da Yeni Zelanda'da Kate'in yeni bebek bekliyor olabileceğini ima etmişti. Cnn Turk
beklemek,bodily functions,"Haberin diğer fotoğrafları için tıklayın 2012 yılında kendisinden 9 yaş küçük iş adamı Wissam Al Mana ile evlenen Janet Jackson, şu an bebek bekliyor. 7 aylık hamile olan 50 yaşındaki Janet'ın hamilelikte bir hayli kilo alması dikkati çekti."
beklemek,bodily functions,"Atilla Taş takipçileri ile, ""Sizle bir mutluluğumu paylaşmak istiyorum millet! Kızım bebek bekliyor, yani ben dede olucam galiba:))"" mesajını ve kızıyla birlikte bir fotoğrafını paylaştı. 39 yaşındaki Atilla Taş'ın kızı Sezen Taş 24 yaşında."
beklemek,bodily functions,"Barcelona forması giyen milli futbolcu Arda Turan, sosyal medya hesabı üzerinden Galatasaray'dan ayrılarak Çin ekiplerinden Beijing Guoan'a transfer olması beklenen Burak Yılmaz'la ilgili bir paylaşım yaptı. Arda, Instagram hesabından paylaştığı fotoğrafa, ""Her şey için teşekkürler 'Kral'... Yeni kariyerinde ailenle, sevdiklerinle, evladınla başarı, mutluluk ve huzur diliyorum. Sen her şeyin en güzelini hak ediyorsun."" notunu düştü."
beklemek,bodily functions,"Beşiktaş, Fenerbahçe'yle yollarını ayıran milli sağ bek Gökhan Gönül'ü özel uçakla İzmir'den İstanbul'a getirdi. Siyah-beyazlılar, öğleden sonra Gökhan Gönül'ü İzmir'den özel uçakla İstanbul Sabiha Gökçen Havalimanı'na getirdi. Tecrübeli futbolcu ve Beşiktaşlı yöneticiler, transferle ilgili son detayları görüşmek üzere bir araya gelecekler. Son pürüzleringiderilmesinin ardından tecrübeli futbolcunun kendisini Beşiktaşlı yapan sözleşmeye imza atması bekleniyor. (Lig Radyo)"
beklemek,bodily functions,"Beşiktaş Teknik Direktörü Şenol Güneş, yarın saat 12.00'de Ümraniye'deki BJK Nevzat Demir Tesisleri'nde basın toplantısı yapacağını açıkladı. Dün yayıncı kuruluşa konuşan ve yönetimi epey eleştiren Güneş'e yakın çevreler, deneyimli hocanın göreve devam edip etmeme konusunda bir açıklama yapmasının beklendiğini ifade ettiler."
beklemek,bodily functions,"Başkan Aysal, ""Bu kadar ağır bir hareket karşında Futbol Federasyonu'nun ceza kriteri ne olacak acaba? Bizimde kafamızda üç aşağı beş yukarı beklediğimiz bir ceza var. Bu durum yerine gelmezse 3 senedir savunduğumuz Futbol Federasyonu'nun çifte standart uyguladığına yönelik açıklamalarımızın doğruluğu bir kez ortaya çıkacak. Galatasaray camiası şu anda merakla Volkan'a verilecek cezayı beklemektedir"" şeklinde ifadeler kullandı."
beklemek,bodily functions,"Fenerbahçe Kulübü, Moussa Sow transfer için Dubai takımlarından Al Ahli ile görüşmelere başladığını KAP’a bildirdi! Senegalli futbolcunun 15 milyon euro bedelle satılması bekleniyor. ""Futbolcumuz Moussa Sow’un transferi konusunda Al Ahli FC kulübü (Dubai) ile görüşmelere başlanmıştır."""
beklemek,bodily functions,"AA muhabirinin aldığı bilgiye göre, yeşil-beyazlılar yönetim kurulu üyeleri, transfer listesinin ilk sıralarında bulunan Cristian Baroni ve Samuel Holmen için yaptıkları görüşmelerde hem Fenerbahçe Kulübü'nden hem de oyunculardan olumlu sonuç aldı. Bursaspor Yönetim Kurulu, her iki oyuncuya transferleri Ramazan Bayramı'nın hemen ardından sonuçlandırmak istediklerini bildirdi. Baroni'nin ve Holmen'in de yeşil-beyazlıların bu teklifi için bayram sonrasını bekledikleri öğrenildi."
beklemek,bodily functions,"Cumhuriyet Gazetesi'nin Şişli'deki merkez binası önünde Birleşik Haziran Hareketi'nin Şişli şubesi üyeleri Can Dündar ve Erdem Gül için eylem yapmaya başladı. Gazetemizin önünden geçen yolda ellerinde ""Can Dündar ve Erdem Gül'ün yanındayız"" yazılı dövizlerle bekleyen Birleşik Haziran Hareketi'nin Şişli şubesi üyeleri, yoldan geçenlere yaşananları anlatıyor."
beklemek,bodily functions,"Kapalıçarşı Esnafı'na yapılan ziyarette basın mensuplarına açıklamalarda bulunan Fenerbahçe Kulübü Asbaşkanı İlhan Ekşioğlu, ""Biz Erkan Zengin ile ilgili teklifimizi sunduk, bekliyoruz"" dedi. Eskişehirspor'un sözleşmeli futbolcusu olduğunu hatırlatan Ekşioğlu, tekliflerini sunduklarını ve gelişmeleri beklediklerini söyledi."
beklemek,bodily functions,"Beşiktaş'tan forvet hattına takviye geldi. Bir süredir gündemde olan Chelsea'nin golcü ismi Demba Ba ve Londra kulübü ile yapılan görüşmeleri Beşiktaş açısından başarı ile tamamlandı. Dailymail'in servis ettiği habere göre Beşiktaş, golcü futbolcunun transferini 8 Milyon Sterlin karşılığında bitirdi. Siyah beyazlı ekibin transferi kısa bir süre içerisinde borsaya bildirmesi bekleniyor."
beklemek,bodily functions,"Tatilini Marmaris'te geçiren Salih Uçan, Roma ile Fenerbahçe arasındaki görüşmelerden çıkacak sonucu bekliyor. Takımda forma şansı bulması imkansız hale gelen genç futbolcu Salih Uçan'ın önüne gelen Roma fırsatını değerlendirmek istediği öğrenildi. İki kulüp arasındaki görüşmeler tamamlanmadığı için futbolcunun temsilci ile görüşmelere geçilemedi. İtayanlar'ın Fenerbahçe'yi ikna etmeye çalıştığı birkaç gün içinde kesin bir sonuca varılmasının amaçlandığı bildirildi. (Milliyet)"
beklemek,bodily functions,"Lice'deki olayları protesto için Hakkari'nin Yüksekova İlçesi'nde iki gündür eylemler sürerken, esnaf da kepenk kapamıştı. Bu sabah yine kepenklerin kapalı olduğu Yüksekova'da, BDP'liler sokak sokak dolaşarak esnafın kepenklerini açmasını istedi. Parti aracından yapılan anons sonrası iş yerlerinin önünde bekleyen esnaf yeniden kepenklerini açtı."
beklemek,bodily functions,"Rus uçağının düşürülmesinin ardından Kremlin'den bir açıklama daha geldi. Kremlin Sözcüsü Dmitri Peskov, Türkiye açıklamasında ""Türkiye'den uçağımızın düşürülmesiyle ilgili gerçekçi bir açıklama bekliyoruz"" dedi. Peskov sözlerine şu şekilde devam etti: ""Türkiye'ye karşı yaptırım uygulamayı düşünmüyoruz. Türkiye'den gıda ithalatına ambargo uygulamayı planlamıyoruz."" GENELKURMAY BAŞKANLIĞI SES KAYITLARINI YAYINLADI"
beklemek,bodily functions,"Cumhurbaşkanı Abdullah Gül, bu akşam Çankaya Köşkü'nde devlet erkanına veda resepsiyonu verecek. Resepsiyonda Abdullah Gül'ün bir de veda konuşması yapması bekleniyor. CHP Genel Başkanı Kemal Kılıçdaroğlu bu resepsiyona katılamama kararı aldı. AKP'deki büyük kavga ile gözlerin çevrildiği Recep Tayyip Erdoğan ise Çankaya'daki resepsiyona katılacak."
